epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
52,18161.9,1.26852,1.55668,1.29507,0.53787,0.36111,0.37535,0.25884,1.19315,1.44845,1.23111,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,18507.5,1.26734,1.55087,1.29243,0.53947,0.36201,0.37646,0.25957,1.19208,1.44801,1.23011,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,18852,1.266,1.54876,1.29116,0.53767,0.36112,0.37685,0.25993,1.1915,1.44802,1.22939,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,19197.1,1.26544,1.54651,1.29113,0.5412,0.36052,0.37779,0.26083,1.19038,1.44726,1.22838,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,19543.6,1.26518,1.54549,1.28996,0.54321,0.36211,0.37878,0.26119,1.18954,1.44522,1.22746,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,19891.6,1.26051,1.54083,1.2885,0.54525,0.36392,0.37953,0.26188,1.18827,1.44358,1.22624,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,20236.6,1.26216,1.53703,1.28882,0.54483,0.36495,0.38006,0.26247,1.1874,1.44183,1.22523,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,20586.3,1.25847,1.53281,1.28507,0.54767,0.36385,0.38109,0.26328,1.18606,1.43993,1.22401,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,20931.7,1.25945,1.53396,1.28663,0.54738,0.36449,0.38175,0.26381,1.18511,1.43785,1.22305,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,21277.6,1.25917,1.52935,1.28489,0.54541,0.36488,0.38196,0.26441,1.18413,1.43557,1.22219,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,21623.3,1.25526,1.52495,1.28242,0.5462,0.36422,0.38303,0.26511,1.18294,1.43322,1.22097,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,21967.3,1.2562,1.52066,1.28137,0.54855,0.36432,0.38383,0.26581,1.18213,1.43119,1.21985,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,22313.1,1.25394,1.51899,1.2799,0.5463,0.36691,0.38449,0.26665,1.18109,1.42855,1.21867,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,22657.4,1.25372,1.51738,1.27987,0.54765,0.36698,0.38578,0.26758,1.18013,1.42587,1.21752,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
